phil_id,name,era,summary
52,Philo,Roman,"""Philo of Alexandria (; Greek: Φίλων, Philōn; Hebrew: ידידיה הכהן, Yedidia (Jedediah) HaCohen; c. 20 BCE – c. 50 CE), also called Philo Judaeus, was a Hellenistic Jewish philosopher who lived in Alexandria, in the Roman province of Egypt.
Philo used philosophical allegory to harmonize Jewish scripture, mainly the Torah, with Greek philosophy. His method followed the practices of both Jewish exegesis and Stoic philosophy. His allegorical exegesis was important for several Christian Church Fathers, but he has barely any reception history within Rabbinic Judaism. He believed that literal interpretations of the Hebrew Bible would stifle humanity's perception of a God too complex and marvelous to be understood in literal human terms.
Some scholars hold that his concept of the Logos as God's creative principle influenced early Christology. Other scholars deny direct influence but say that Philo and Early Christianity borrow from a common source.
The only event in Philo's life that can be decisively dated is his participation in the embassy to Rome in 40 CE. He represented the Alexandrian Jews in a delegation to Roman Emperor Caligula following civil strife between the Alexandrian Jewish and Greek communities. The story of this event, and a few other biographical details, are found in Josephus and in Philo's own works, especially in Legatio ad Gaium (Embassy to Gaius) of which only two of the original five volumes survive."""
53,Seneca the Younger,Roman,"""Seneca the Younger (c. 4 BC – AD 65), fully Lucius Annaeus Seneca and also known simply as Seneca (), was a Roman Stoic philosopher, statesman, dramatist, and—in one work—humorist of the Silver Age of Latin literature. As a tragedian, he is best-known for his Medea and Thyestes.
He was a tutor and later advisor to emperor Nero. He was forced to take his own life for alleged complicity in the Pisonian conspiracy to assassinate Nero. However, some sources state that he may have been innocent. His father was Seneca the Elder, his elder brother was Lucius Junius Gallio Annaeanus, and his nephew was the poet Lucan. His stoic and calm suicide has become the subject of numerous paintings."""
54,Epictetus,Roman,"""Epictetus (; Greek: Ἐπίκτητος, Epíktētos; c. AD 55 – 135) was a Greek Stoic philosopher. He was born a slave at Hierapolis, Phrygia (present day Pamukkale, Turkey) and lived in Rome until his banishment, when he went to Nicopolis in northwestern Greece for the rest of his life. His teachings were written down and published by his pupil Arrian in his Discourses and Enchiridion.
Epictetus taught that philosophy is a way of life and not just a theoretical discipline. To Epictetus, all external events are beyond our control; we should accept calmly and dispassionately whatever happens. However, individuals are responsible for their own actions, which they can examine and control through rigorous self-discipline."""
55,Marcus Aurelius,Roman,"""Marcus Aurelius (; Latin: Marcus Aurelius Antoninus Augustus; 26 April 121 – 17 March 180 AD) was Roman emperor from 161 to 180, ruling jointly with Lucius Verus until Verus' death in 169 and jointly with his son, Commodus, from 177. He was the the last of the so-called Five Good Emperors.
He was a practitioner of Stoicism, and his untitled writing, commonly known as Meditations, is a significant source of our modern understanding of ancient Stoic philosophy. It is considered by many commentators to be one of the greatest works of philosophy.
During his reign, the Roman Empire defeated a revitalized Parthian Empire in the East: Aurelius' general Avidius Cassius sacked the capital Ctesiphon in 164. In central Europe, Aurelius fought the Marcomanni, Quadi, and Sarmatians with success during the Marcomannic Wars, although the threat of the Germanic peoples began to represent a troubling reality for the Empire. A revolt in the East led by Avidius Cassius failed to gain momentum and was suppressed immediately. Persecution of Christians increased during his reign.
His death in 180 is widely cited as the end of the Pax Romana and the increasing instability in the west that followed has traditionally been seen as the beginning of the eventual Fall of the Western Roman Empire."""
56,Sextus Empiricus,Roman,"""Sextus Empiricus (Greek: Σέξτος Ἐμπειρικός; c. 160 – c. 210 CE, n.b., dates uncertain), was a physician and philosopher, and has been variously reported to have lived in Alexandria, Rome, or Athens. His philosophical work is the most complete surviving account of ancient Greek and Roman Pyrrhonism.
In his medical work, as reflected by his name, tradition maintains that he belonged to the empiric school, in which Pyrrhonism was popular. However, at least twice in his writings, Sextus seems to place himself closer to the methodic school. He may be the same person as Sextus of Chaeronea."""
57,Plotinus,Roman,"""Plotinus (; Greek: Πλωτῖνος; c. 204/5 – 270) was a major Greek-speaking philosopher of the ancient world. In his philosophy there are three principles: the One, the Intellect, and the Soul. His teacher was Ammonius Saccas and he is of the Platonic tradition. Historians of the 19th century invented the term Neoplatonism and applied it to him and his philosophy which was influential in Late Antiquity. Much of the biographical information about Plotinus comes from Porphyry's preface to his edition of Plotinus' Enneads. His metaphysical writings have inspired centuries of Pagan, Islamic, Jewish, Christian, and Gnostic metaphysicians and mystics."""
58,Porphyry (philosopher),Roman,"""Porphyry of Tyre (; Greek: Πορφύριος, Porphýrios; Arabic: فرفوريوس, Furfūriyūs; c. 234 – c. 305 AD) was a Neoplatonic philosopher who was born in Tyre, in the Roman Empire. He edited and published the Enneads, the only collection of the work of his teacher Plotinus. His commentary on Euclid's Elements was used as a source by Pappus of Alexandria.
He also wrote many works himself on a wide variety of topics. His Isagoge, or Introduction, is an introduction to logic and philosophy, and in the Latin and Arabic translations it was the standard textbook on logic throughout the Middle Ages. In addition, through several of his works, most notably Philosophy from Oracles and Against the Christians, which was banned by emperor Constantine the Great, he was involved in a controversy with a number of early Christians."""
59,Iamblichus,Roman,"""Iamblichus, also known as Iamblichus Chalcidensis, or Iamblichus of Apamea (Greek: Ἰάμβλιχος, probably from Syriac or Aramaic ya-mlku, 'He is king'; c. 245 – c. 325 AD), was a Syrian Neoplatonist philosopher who determined the direction taken by later Neoplatonic philosophy. He was also the biographer of Pythagoras and a Greek mystic, philosopher and mathematician.
Aside from Iamblichus' own philosophical contribution, his Protrepticus is of importance for the study of the Sophists, owing to its preservation of approximately ten pages of an otherwise unknown Sophist known as the Anonymus Iamblichi."""
60,Augustine of Hippo,Roman,"""Augustine of Hippo ( or ; 13 November 354 – 28 August 430) was an early Christian theologian and philosopher whose writings influenced the development of Western Christianity and Western philosophy. He was the bishop of Hippo Regius in north Africa and is viewed as one of the most important Church Fathers in Western Christianity for his writings in the Patristic Era. Among his most important works are The City of God and Confessions.
According to his contemporary, Jerome, Augustine 'established anew the ancient Faith.' In his early years, he was influenced by Manichaeism and afterward by the neo-Platonism of Plotinus. After his baptism and conversion to Christianity in 386, Augustine developed his own approach to philosophy and theology, accommodating a variety of methods and perspectives. Believing that the grace of Christ was indispensable to human freedom, he helped formulate the doctrine of original sin and made seminal contributions to the development of just war theory. When the Western Roman Empire began to disintegrate, Augustine developed the concept of the Church as a spiritual City of God, distinct from the material Earthly City. His thoughts profoundly influenced the medieval worldview. The segment of the Church that adhered to the concept of the Trinity as defined by the Council of Nicaea and the Council of Constantinople  closely identified with Augustine's On the Trinity.
Augustine is recognized as a saint in the Catholic Church, the Eastern Christian Church, and the Anglican Communion and as a preeminent Doctor of the Church. He is also the patron of the Augustinians. His memorial is celebrated on 28 August, the day of his death. Augustine is the patron saint of brewers, printers, theologians, the alleviation of sore eyes, and a number of cities and dioceses. Many Protestants, especially Calvinists and Lutherans, consider him to be one of the theological fathers of the Protestant Reformation due to his teachings on salvation and divine grace. Lutherans, and Martin Luther in particular, have held Augustine in preeminence (after the Bible and St. Paul). Luther himself was a member of the Order of the Augustinian Eremites (1505–1521).
In the East, some of his teachings are disputed and have in the 20th century in particular come under attack by such theologians as John Romanides. But other theologians and figures of the Eastern Orthodox Church have shown significant appropriation of his writings, chiefly Georges Florovsky. The most controversial doctrine surrounding his name is the filioque, which has been rejected by the Orthodox Church. Other disputed teachings include his views on original sin, the doctrine of grace, and predestination. Nevertheless, though considered to be mistaken on some points, he is still considered a saint, and has even had influence on some Eastern Church Fathers, most notably Saint Gregory Palamas. In the Orthodox Church his feast day is celebrated on 15 June. Church scholar and historian Diarmaid MacCulloch writes 'his impact on Western Christian thought can hardly be overstated; only his beloved example Paul of Tarsus, has been more influential, and Westerners have generally seen Paul through Augustine's eyes.'

"""
61,Proclus,Roman,"""Proclus Lycaeus (/_pr_kl_s _la__si__s/; 8 February 412 � 17 April 485 AD), called the Successor (Greek _______ _ ________, Pr�klos ho Di�dokhos), was a Greek Neoplatonist philosopher, one of the last major Classical philosophers (see Damascius). He set forth one of the most elaborate and fully developed systems of Neoplatonism. He stands near the end of the classical development of philosophy, and was very influential on Western medieval philosophy (Greek and Latin)."""
62,Boethius,Medieval,"""Anicius Manlius Severinus Boëthius, commonly called Boethius (English: ; also Boetius ; c. 480–524 AD), was a Roman senator, consul, magister officiorum, and philosopher of the early 6th century. He was born four years after Odoacer deposed the last Roman Emperor and declared himself King of Italy, and entered public service under Ostrogothic King Theodoric the Great, who later imprisoned and executed him in 524 on charges of conspiracy to overthrow him. While jailed, Boethius composed his Consolation of Philosophy, a philosophical treatise on fortune, death, and other issues, which became one of the most popular and influential works of the Middle Ages."""
63,John Philoponus,Medieval,"""John Philoponus (; Ἰωάννης ὁ Φιλόπονος; c. 490 – c. 570), also known as John the Grammarian or John of Alexandria, was an Alexandrian philologist, Aristotelian commentator and Christian theologian, author of a considerable number of philosophical treatises and theological works.
A rigorous, sometimes polemical writer and an original thinker who was controversial in his own time, John Philoponus broke from the Aristotelian–Neoplatonic tradition, questioning methodology and eventually leading to empiricism in the natural sciences. He was one of the first to propose a 'theory of impetus' reminiscent of the modern concept of inertia over Aristotelian dynamics.
Later in life Philoponus turned to Christian apologetics, arguing against the eternity of the world, a theory which formed the basis of pagan attack of the Christian doctrine of Creation. He also wrote on Christology, and was posthumously condemned as a heretic by the Imperial Church in 680–81 because of what was perceived of as a tritheistic interpretation of the Trinity.
His by-name ὁ Φιλόπονος translates as 'lover of toil', i.e. 'diligent', in reference to a miaphysite confraternity in Alexandria, the philoponoi who were active in debating pagan (i.e. Neoplatonic) philosophers.
His posthumous condemnation limited the spread of his writing, but copies of his work did circulate in Greek or Latin versions in medieval Europe, influencing Bonaventure and Buridan. His work was also received in Arabic scholarly tradition, where he is known as Yaḥyā al-Naḥwī (i.e. 'John the Grammarian'). His critique of Aristotle in the Physics commentary was a major influence on Giovanni Pico della Mirandola and Galileo Galilei, who cited Philoponus substantially in his works.

"""
64,Al-Kindi,Medieval,"""Abu Yūsuf Yaʻqūb ibn ʼIsḥāq aṣ-Ṣabbāḥ al-Kindī (Arabic: أبو يوسف يعقوب بن إسحاق الصبّاح الكندي, Latin: Alkindus) (c. 801–873 AD), known as 'the Philosopher of the Islamic empire (Abbasid Caliphate)', was a Arab Muslim philosopher, polymath, mathematician, physician and musician. Al-Kindi was the first of the Muslim peripatetic philosophers, and is unanimously hailed as the 'father of Islamic philosophy' for his synthesis, adaptation and promotion of Greek and Hellenistic philosophy in the Muslim world.
Al-Kindi was a descendant of the Kinda tribe. He was born in Basra and educated in Baghdad. Al-Kindi became a prominent figure in the House of Wisdom, and a number of Abbasid Caliphs appointed him to oversee the translation of Greek scientific and philosophical texts into the Arabic language. This contact with 'the philosophy of the ancients' (as Greek philosophy was often referred to by Muslim scholars) had a profound effect on his intellectual development, and led him to write hundreds of original treatises of his own on a range of subjects ranging from metaphysics, ethics, logic and psychology, to medicine, pharmacology, mathematics, astronomy, astrology and optics, and further afield to more practical topics like perfumes, swords, jewels, glass, dyes, zoology, tides, mirrors, meteorology and earthquakes.
In the field of mathematics, al-Kindi played an important role in introducing Indian numerals to the Islamic and Christian world. He was a pioneer in cryptanalysis and devised several new methods of breaking ciphers. Using his mathematical and medical expertise, he was able to develop a scale that would allow doctors to quantify the potency of their medication.
The central theme underpinning al-Kindi's philosophical writings is the compatibility between philosophy and other 'orthodox' Islamic sciences, particularly theology. And many of his works deal with subjects that theology had an immediate interest in. These include the nature of God, the soul and prophetic knowledge. But despite the important role he played in making philosophy accessible to Muslim intellectuals, his own philosophical output was largely overshadowed by that of al-Farabi and very few of his texts are available for modern scholars to examine."""
65,John Scotus Eriugena,Medieval,"""John Scotus Eriugena, or Johannes Scotus Erigena (  ; c. 815 – c. 877) was an Irish theologian, neoplatonist philosopher, and poet. He wrote a number of works, but is best known today for having written The Division of Nature, which has been called the final achievement of ancient philosophy, a work which 'synthesizes the philosophical accomplishments of fifteen centuries.'
Eriugena argued on behalf of something like a pantheistic definition of nature. He translated and made commentaries upon the work of Pseudo-Dionysius, and was one of the few European philosophers of his day that knew Greek, having studied in Athens. Famously, he is said to have been stabbed to death by his students at Malmesbury with their pens."""
66,Al-Faràbi,Medieval,""""""
67,Saadia Gaon,Medieval,"""Rabbi Sa'adiah ben Yosef Gaon (Arabic: سعيد بن يوسف الفيومي / סעיד בן יוסף אלפיומי Saʻīd bin Yūsuf al-Fayyūmi, Sa'id ibn Yusuf al-Dilasi, Saadia ben Yosef aluf, Sa'id ben Yusuf ra's al-Kull; Hebrew: רבי סעדיה בן יוסף אלפיומי גאון' or in short: סעדיה גאון; alternative English Names: Rabeinu Sa'adiah Gaon ('our Rabbi [the] Saadia Gaon'), RaSaG, Saadia b. Joseph, Saadia ben Joseph or Saadia ben Joseph of Faym or Saadia ben Joseph Al-Fayyumi; 882/892 – 942) was a prominent rabbi, Jewish philosopher, and exegete of the Geonic period who was active in the Abbasid Caliphate.
The first important rabbinic figure to write extensively in Arabic, he is considered the founder of Judeo-Arabic literature. Known for his works on Hebrew linguistics, Halakha, and Jewish philosophy, he was one of the more sophisticated practitioners of the philosophical school known as the 'Jewish Kalam' (Stroumsa 2003). In this capacity, his philosophical work The Book of Beliefs and Opinions represents the first systematic attempt to integrate Jewish theology with components of Greek philosophy. Saadia was also very active in opposition to Karaism, in defense of rabbinic Judaism."""
68,Al-Razi,Medieval,"""Abū Bakr Muhammad ibn Zakariyyā al-Rāzī (ابوبكر محمّد زکرياى رازى Abūbakr Mohammad-e Zakariyyā-ye Rāzī, also known by his Latinized name Rhazes or Rasis) (854 CE – 925 CE), was a Persian polymath, physician, alchemist, philosopher, and important figure in the history of medicine.
A comprehensive thinker, Razi made fundamental and enduring contributions to various fields, which he recorded in over 200 manuscripts, and is particularly remembered for numerous advances in medicine through his observations and discoveries. An early proponent of experimental medicine, he became a successful doctor, and served as chief physician of Baghdad and Ray hospitals. As a teacher of medicine, he attracted students of all backgrounds and interests and was said to be compassionate and devoted to the service of his patients, whether rich or poor.
According to the Encyclopædia Britannica (1911), he was among the first to use humoral theory to distinguish one contagious disease from another, and wrote a pioneering book about smallpox and measles providing clinical characterization of the diseases. He also discovered numerous compounds and chemicals including alcohol and kerosene, among others.
Through translation, his medical works and ideas became known among medieval European practitioners and profoundly influenced medical education in the Latin West. Some volumes of his work Al-Mansuri, namely 'On Surgery' and 'A General Book on Therapy', became part of the medical curriculum in Western universities. Edward Granville Browne considers him as 'probably the greatest and most original of all the Muslim physicians, and one of the most prolific as an author'. Additionally, he has been described as a doctor's doctor, the father of pediatrics, and a pioneer of ophthalmology."""
69,Avicenna,Medieval,"""Avicenna or Ibn Sīnā (Persian: ابن سینا; c. 980 – June 1037) was a Persian polymath who is regarded as one of the most significant physicians, astronomers, thinkers and writers of the Islamic Golden Age. He has been described as the father of early modern medicine. Of the 450 works he is known to have written, around 240 have survived, including 150 on philosophy and 40 on medicine.
His most famous works are The Book of Healing, a philosophical and scientific encyclopedia, and The Canon of Medicine, a medical encyclopedia which became a standard medical text at many medieval universities and remained in use as late as 1650. In 1973, Avicenna's Canon Of Medicine was reprinted in New York.
Besides philosophy and medicine, Avicenna's corpus includes writings on astronomy, alchemy, geography and geology, psychology, Islamic theology, logic, mathematics, physics and poetry."""
70,Solomon ibn Gabirol,Medieval,"""Solomon ibn Gabirol (alt. Solomon ben Judah) (Hebrew: שלמה בן יהודה אבן גבירול Shlomo Ben Yehuda ibn Gabirol, pronounced [ʃe.loˈmo bɛn jɛ.uˈdaː ˈɪ.bn ˌga.bi.ˈrɒːl]; Arabic: أبو أيوب سليمان بن يحيى بن جبيرول Abu Ayyub Sulayman bin Yahya bin Jabirul, pronounced [æ.ˈbuː æj.juːb ˌsu.læj.ˈmæːnɪ bnɪ ˌjæ'ħjæː bnɪ dʒæ.biː.'ruːl]) was an 11th-century Andalusian poet and Jewish philosopher with a Neo-Platonic bent. He published over a hundred poems, as well as works of biblical exegesis, philosophy, ethics and satire. One source credits Ibn Gabirol with creating a golem, possibly female, for household chores.
In the 19th century it was discovered that medieval translators had Latinised Gabirol's name to Avicebron and had translated his work on Jewish Neo-Platonic philosophy into a Latin form that had in the intervening centuries been highly regarded as a work of Islamic or Christian scholarship. As such, Ibn Gabirol is well known in the history of philosophy for the doctrine that all things, including soul and intellect, are composed of matter and form (“Universal Hylomorphism”), and for his emphasis on Divine Will."""
71,Anselm of Canterbury,Medieval,"""Anselm of Canterbury , also called Anselm of Aosta (Italian: Anselmo d'Aosta) after his birthplace and Anselm of Bec (French: Anselme du Bec) after his monastery, was a Benedictine monk, abbot, philosopher and theologian of the Catholic Church, who held the office of archbishop of Canterbury from 1093 to 1109. After his death, he was canonized as a saint; his feast day is 21 April.
Beginning at Bec, Anselm composed dialogues and treatises with a rational and philosophical approach, sometimes causing him to be credited as the founder of Scholasticism. Despite his lack of recognition in this field in his own time, Anselm is now famed as the originator of the ontological argument for the existence of God and of the satisfaction theory of atonement. He was proclaimed a Doctor of the Church by a bull of Pope Clement XI in 1720.
As archbishop, he defended the church's interests in England amid the Investiture Controversy. For his resistance to the English kings William II and Henry I, he was exiled twice: once from 1097 to 1100 and then from 1105 to 1107. While in exile, he helped guide the Greek bishops of southern Italy to adopt Roman rites at the Council of Bari. He worked for the primacy of Canterbury over the bishops of York and Wales but, though at his death he appeared to have been successful, Pope Paschal II later reversed himself and restored York's independence."""
72,Al-Ghazali,Medieval,"""Abū Ḥāmid Muḥammad ibn Muḥammad al-Ghazālī (; Arabic: أبو حامد محمد بن محمد الغزالي; c. 1058 – 19 December 1111), shortened as Al-Ghazali in Arabic or Ghazali in Persian and known as Algazelus or Algazel to the Western medieval world, was a Persian theologian, jurist, philosopher, and mystic.
Al-Ghazali has been referred to by some historians as the single most influential Muslim after the prophet Muhammad. Within Islamic civilization he is considered to be a Mujaddid or renewer of the faith, who, according to tradition, appears once every century to restore the faith of the community. His works were so highly acclaimed by his contemporaries that al-Ghazali was awarded the honorific title 'Proof of Islam' (Hujjat al-Islam). Others have cited his opposition to certain strands of Islamic philosophy as a detriment to Islamic scientific progress, although he argued for the separation of philosophy and science.  Besides his work that successfully changed the course of Islamic philosophy—the early Islamic Neoplatonism that developed on the grounds of Hellenistic philosophy, for example, was so successfully criticised by al-Ghazali that it never recovered—he also brought the orthodox Islam of his time in close contact with Sufism. It became increasingly possible for individuals to combine orthodox theology (kalam) and Sufism, while adherents of both camps developed a sense of mutual appreciation that made sweeping condemnation of one by the other increasingly problematic."""
73,Peter Abelard,Medieval,"""Peter Abelard (; Latin: Petrus Abaelardus or Abailardus; French: Pierre Abélard, pronounced [a.be.laːʁ]; 1079 – 21 April 1142) was a medieval French scholastic philosopher, theologian and preeminent logician. His love for, and affair with, Héloïse d'Argenteuil have become legendary. The Chambers Biographical Dictionary describes him as 'the keenest thinker and boldest theologian of the 12th Century'."""
74,Abraham ibn Daud,Medieval,"""Abraham ibn Daud (Hebrew: אברהם אבן דאוד; Arabic: ابراهيم بن داود) was a Spanish-Jewish astronomer, historian, and philosopher; born at Cordoba, Spain about 1110; died in Toledo, Spain, according to common report, a martyr about 1180. He is sometimes known by the abbreviation Rabad I or Ravad I. His mother belonged to a family famed for its learning."""
75,Peter Lombard,Medieval,"""Peter Lombard, Peter the Lombard, Pierre Lombard or Petrus Lombardus, (c. 1096, Novara, Lombardy – 21/22 July 1160, Paris, France) was a scholastic theologian, Bishop of Paris, and author of Four Books of Sentences, which became the standard textbook of theology, for which he earned the accolade Magister Sententiarum."""
76,Averroes,Medieval,"""Ibn Rushd (Arabic: ابن رشد; 14 April 1126 – 10 December 1198), full name (Arabic: أبو الوليد محمد ابن احمد ابن رشد, translit. ʾAbū l-Walīd Muḥammad Ibn ʾAḥmad Ibn Rushd), often Latinized as Averroes (), was a medieval Andalusian polymath. He wrote on logic, Aristotelian and Islamic philosophy, theology, the Maliki school of Islamic jurisprudence, psychology, political and Andalusian classical music theory, geography, mathematics, and the mediæval sciences of medicine, astronomy, physics, and celestial mechanics. Ibn Rushd was born in Córdoba, Al Andalus (present-day Spain), and died at Marrakesh in present-day Morocco. His body was interred in his family tomb at Córdoba. The 13th-century philosophical movement in Latin Christian and Jewish tradition based on Ibn Rushd's work is called Averroism.
Ibn Rushd was a defender of Aristotelian philosophy against Ash'ari theologians led by Al-Ghazali. Although highly regarded as a legal scholar of the Maliki school of Islamic law, Ibn Rushd's philosophical ideas were considered controversial in Ash'arite Muslim circles. Whereas al-Ghazali believed that any individual act of a natural phenomenon occurred only because God willed it to happen, Ibn Rushd insisted phenomena followed natural laws that God created.
Ibn Rushd had a greater impact on Christian Europe, being known by the sobriquet 'the Commentator' for his detailed emendations to Aristotle. Latin translations of Ibn Rushd's work led the way to the popularization of Aristotle."""
77,Maimonides,Medieval,"""Rabbi Moses ben Maimon (Hebrew: מֹשֶׁה בֶּן־מַימוֹן Mōšeh bēn-Maymōn; Arabic: موسى بن ميمون Mūsā bin Maymūn), commonly known as Maimonides  (my-MON-i-deez; Greek: Μαϊμωνίδης Maïmōnídēs; Latin: Moses Maimonides), and also referred to by the acronym Rambam  (רמב״ם, for Rabbeinu Mōšeh bēn Maimon, 'Our Rabbi Moses son of Maimon'), was a medieval Sephardic Jewish philosopher who became one of the most prolific and influential Torah scholars of the Middle Ages. In his time, he was also a preeminent astronomer and physician. Born in Cordova, Almoravid Empire (present-day Spain) on Passover Eve, 1135 or 1138, he worked as a rabbi, physician, and philosopher in Morocco and Egypt. He died in Egypt on December 12, 1204, whence his body was taken to the lower Galilee and buried in Tiberias.
During his lifetime, most Jews greeted Maimonides' writings on Jewish law and ethics with acclaim and gratitude, even as far away as Iraq and Yemen, and although Maimonides rose to become the revered head of the Jewish community in Egypt, there were also vociferous critics of some of his writings, particularly in Spain. Nonetheless, he was posthumously acknowledged as among the foremost rabbinical arbiters and philosophers in Jewish history, and his copious work comprises a cornerstone of Jewish scholarship. His fourteen-volume Mishneh Torah still carries significant canonical authority as a codification of Talmudic law. He is sometimes known as 'ha Nesher ha Gadol' (the great eagle) in recognition of his outstanding status as a bona fide exponent of the Oral Torah.
Aside from being revered by Jewish historians, Maimonides also figures very prominently in the history of Islamic and Arab sciences and is mentioned extensively in studies. Influenced by Mohammed Al-Farabi (Arabic: ابو نصر محمد بن محمد الفارابي, ca. 872–950/951), Ibn Sina known as Avicenna (Arabic: ابن سینا, c. 980 – 1037), and his contemporary Ibn Rushd known as Averroes (Arabic: ابن رشد, 1126–1198), he in his turn influenced other prominent Arab and Muslim philosophers and scientists. He became a prominent philosopher and polymath in both the Jewish and Islamic worlds."""
78,Francis of Assisi,Medieval,"""Saint Francis of Assisi (Italian: San Francesco d'Assisi), born Giovanni di Pietro di Bernardone, informally named as Francesco (1181/1182 – 3 October 1226), was an Italian Roman Catholic friar, deacon and preacher. He founded the men's Order of Friars Minor, the women’s Order of Saint Clare, the Third Order of Saint Francis and the Custody of the Holy Land. Francis is one of the most venerated religious figures in history.
Pope Gregory IX canonized Francis on 16 July 1228. Along with Saint Catherine of Siena, he was designated Patron saint of Italy. He later became associated with patronage of animals and the natural environment, and it became customary for Catholic and Anglican churches to hold ceremonies blessing animals on his feast day of 4 October. He is often remembered as the patron saint of animals.
In 1219, he went to Egypt in an attempt to convert the Sultan to put an end to the conflict of the Crusades. By this point, the Franciscan Order had grown to such an extent that its primitive organizational structure was no longer sufficient. He returned to Italy to organize the Order. Once his community was authorized by the Pope, he withdrew increasingly from external affairs. Francis is also known for his love of the Eucharist. In 1223, Francis arranged for the first Christmas live nativity scene. According to Christian tradition, in 1224 he received the stigmata during the apparition of Seraphic angels in a religious ecstasy  making him the first recorded person in Christian history to bear the wounds of Christ's Passion. He died during the evening hours of 3 October 1226, while listening to a reading he had requested of Psalm 142 (141)."""
79,Robert Grosseteste,Medieval,"""Robert Grosseteste ( GROHS-test; Latin: Robertus Grosseteste; c. 1175 – 9 October 1253) was an English statesman, scholastic philosopher, theologian, scientist and Bishop of Lincoln. He was born of humble parents at Stradbroke in Suffolk. Upon his death, he was almost universally revered as a saint in England, but attempts to procure a formal canonization failed. A. C. Crombie calls him 'the real founder of the tradition of scientific thought in medieval Oxford, and in some ways, of the modern English intellectual tradition'."""
80,Albertus Magnus,Medieval,"""Albertus Magnus, O.P. (c. 1200 – November 15, 1280), also known as Saint Albert the Great and Albert of Cologne, was a German Catholic Dominican friar and bishop. Later canonised as a Catholic saint, he was known during his lifetime as Doctor universalis and Doctor expertus and, late in his life, the sobriquet Magnus was appended to his name. Scholars such as James A. Weisheipl and Joachim R. Söder have referred to him as the greatest German philosopher and theologian of the Middle Ages. The Catholic Church distinguishes him as one of the 36 Doctors of the Church.

"""
81,Roger Bacon,Medieval,"""Roger Bacon  (Latin: Rogerus or Rogerius Baconus, also Frater Rogerus; c. 1219/20 – c. 1292), also known by the scholastic accolade Doctor Mirabilis, was an English philosopher and Franciscan friar who placed considerable emphasis on the study of nature through empiricism. In the early modern era, he was regarded as a wizard and particularly famed for the story of his mechanical or necromantic brazen head. He is sometimes credited (mainly since the 19th century) as one of the earliest European advocates of the modern scientific method inspired by Aristotle and by later scholars such as the Arab scientist Alhazen. His linguistic work has been heralded for its early exposition of a universal grammar. However, more recent re-evaluations emphasise that Bacon was essentially a medieval thinker, with much of his 'experimental' knowledge obtained from books in the scholastic tradition. He was, however, partially responsible for a revision of the medieval university curriculum, which saw the addition of optics to the traditional quadrivium. A survey of how Bacon's work was received over the centuries found that it often reflected the concerns and controversies that were central to his readers.
Bacon's major work, the Opus Majus, was sent to Pope Clement IV in Rome in 1267 upon the pope's request. Although gunpowder was first invented and described in China, Bacon was the first in Europe to record its formula."""
82,Thomas Aquinas,Medieval,"""Saint Thomas Aquinas  (; Italian: Tommaso d'Aquino, lit. 'Thomas of Aquino'; 1225 – 7 March 1274) was an Italian Dominican friar, Catholic priest, and Doctor of the Church. He was an immensely influential philosopher, theologian, and jurist in the tradition of scholasticism, within which he is also known as the Doctor Angelicus and the Doctor Communis. The name Aquinas identifies his ancestral origins in the county of Aquino in present-day Lazio.
He was the foremost classical proponent of natural theology and the father of Thomism; of which he argued that reason is found in God. His influence on Western thought is considerable, and much of modern philosophy developed or opposed his ideas, particularly in the areas of ethics, natural law, metaphysics, and political theory. Unlike many currents in the Church of the time, Thomas embraced several ideas put forward by Aristotle—whom he called 'the Philosopher'—and attempted to synthesize Aristotelian philosophy with the principles of Christianity. The works for which he is best known are the Summa Theologiae and the Summa contra Gentiles. His commentaries on Scripture and on Aristotle form an important part of his body of work. Furthermore, Thomas is distinguished for his eucharistic hymns, which form a part of the Church's liturgy.
The Catholic Church honors Thomas Aquinas as a saint and regards him as the model teacher for those studying for the priesthood, and indeed the highest expression of both natural reason and speculative theology. In modern times, under papal directives, the study of his works was long used as a core of the required program of study for those seeking ordination as priests or deacons, as well as for those in religious formation and for other students of the sacred disciplines (philosophy, Catholic theology, church history, liturgy, and canon law).
Thomas Aquinas is considered one of the Catholic Church's greatest theologians and philosophers. Pope Benedict XV declared: 'This (Dominican) Order ... acquired new luster when the Church declared the teaching of Thomas to be her own and that Doctor, honored with the special praises of the Pontiffs, the master and patron of Catholic schools.' The English philosopher Anthony Kenny considers Thomas to be 'one of the dozen greatest philosophers of the western world'."""
83,Bonaventure,Medieval,"""Saint Bonaventure (Italian: San Bonaventura; 1221 – 15 July 1274), born Giovanni di Fidanza, was an Italian medieval Franciscan, scholastic theologian and philosopher. The seventh Minister General of the Order of Friars Minor, he was also Cardinal Bishop of Albano. He was canonised on 14 April 1482 by Pope Sixtus IV and declared a Doctor of the Church in the year 1588 by Pope Sixtus V. He is known as the 'Seraphic Doctor' (Latin: Doctor Seraphicus). Many writings believed in the Middle Ages to be his are now collected under the name Pseudo-Bonaventure."""
